"";"data";"rating";"vertice";"valor";"indexador"
"442";2022-04-30;"AAA";"7";1,6045;"DI+"
"443";2022-04-30;"AAA";"8";1,6513;"DI+"
"444";2022-04-30;"AAA";"9";1,69;"DI+"
"445";2022-04-30;"AAA";"10";1,7223;"DI+"
"446";2022-04-30;"AAA";"11";1,7496;"DI+"
"447";2022-04-30;"AAA";"12";1,7728;"DI+"
"448";2022-04-30;"AAA";"13";1,7928;"DI+"
"449";2022-04-30;"AAA";"14";1,8101;"DI+"
"450";2022-04-30;"AAA";"15";1,8252;"DI+"
"451";2022-05-31;"AAA";"1";0,9283;"DI+"
"452";2022-05-31;"AAA";"2";1,1108;"DI+"
"453";2022-05-31;"AAA";"3";1,2565;"DI+"
"454";2022-05-31;"AAA";"4";1,3739;"DI+"
"455";2022-05-31;"AAA";"5";1,4693;"DI+"
"456";2022-05-31;"AAA";"6";1,5473;"DI+"
"457";2022-05-31;"AAA";"7";1,6117;"DI+"
"458";2022-05-31;"AAA";"8";1,6653;"DI+"
"459";2022-05-31;"AAA";"9";1,7103;"DI+"
"460";2022-05-31;"AAA";"10";1,7484;"DI+"
"461";2022-05-31;"AAA";"11";1,7808;"DI+"
"462";2022-05-31;"AAA";"12";1,8087;"DI+"
"463";2022-05-31;"AAA";"13";1,8329;"DI+"
"464";2022-05-31;"AAA";"14";1,8539;"DI+"
"465";2022-05-31;"AAA";"15";1,8724;"DI+"
"466";2020-01-31;"AA";"1";0,7727;"DI+"
"467";2020-01-31;"AA";"2";0,9809;"DI+"
"468";2020-01-31;"AA";"3";1,1179;"DI+"
"469";2020-01-31;"AA";"4";1,211;"DI+"
"470";2020-01-31;"AA";"5";1,2765;"DI+"
"471";2020-01-31;"AA";"6";1,324;"DI+"
"472";2020-01-31;"AA";"7";1,3596;"DI+"
"473";2020-01-31;"AA";"8";1,387;"DI+"
"474";2020-01-31;"AA";"9";1,4086;"DI+"
"475";2020-01-31;"AA";"10";1,426;"DI+"
"476";2020-01-31;"AA";"11";1,4404;"DI+"
"477";2020-01-31;"AA";"12";1,4523;"DI+"
"478";2020-01-31;"AA";"13";1,4624;"DI+"
"479";2020-01-31;"AA";"14";1,4711;"DI+"
"480";2020-01-31;"AA";"15";1,4786;"DI+"
"481";2020-02-29;"AA";"1";0,7724;"DI+"
